AvgSpotLen_l	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	Assay_Type_s	BioProject_s	BioSample_s	BioSampleModel_s	Center_Name_s	Consent_s	Experiment_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Sample_s	SRA_Study_s	Sample_Name_s	age_s	biomaterial_provider_s	isolate_s	isolation_source_s	sex_s	tissue_s
10950	2017-02-03	1707	6246	2016-05-19	SRR3085725	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
10499	2017-02-03	1637	5796	2016-05-19	SRR3085726	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
10928	2017-02-03	1703	6125	2016-05-19	SRR3085727	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
12342	2017-02-03	1924	6761	2016-05-19	SRR3085728	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
8002	2017-02-03	1247	4503	2016-05-19	SRR3085729	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
7317	2017-02-03	1140	4108	2016-05-19	SRR3085730	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
11275	2017-02-03	1757	6454	2016-05-19	SRR3085731	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
9595	2017-02-03	1495	5605	2016-05-19	SRR3085732	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
10536	2017-02-03	1642	6126	2016-05-19	SRR3085733	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
9015	2017-02-03	1405	5280	2016-05-19	SRR3085734	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
10149	2017-02-03	1582	5703	2016-05-19	SRR3085735	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
7884	2017-02-03	1229	4623	2016-05-19	SRR3085736	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
8179	2017-02-03	1275	4739	2016-05-19	SRR3085737	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
8553	2017-02-03	1333	4946	2016-05-19	SRR3085738	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
8369	2017-02-03	1304	4884	2016-05-19	SRR3085739	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
6725	2017-02-03	1048	3882	2016-05-19	SRR3085740	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
7161	2017-02-03	1116	4156	2016-05-19	SRR3085741	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
